,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
117402,-0.42,28.4,30.7,33.75,12.32,14.74,14.24,1.51044,13.75,9.51,1795.86
117403,-0.26,28.87,30.84,33.9,11.33,13.33,12.85,1.51054,14.42,11.42,1795.97
117404,0.01,29.42,31.52,35.03,11.9,13.62,13.33,1.50995,13.57,9.97,1796.23
117405,0.06,29.67,31.59,34.87,10.81,12.62,12.15,1.51055,14.85,13.17,1796.2
117406,0.4,29.98,32.55,35.91,11.2,12.83,12.94,1.51028,15.39,12.47,1795.16
117407,0.54,30,32.54,35.96,10.98,12.56,12.46,1.51125,14.65,12.44,1795.87
117408,0.7,30.52,33.31,36.53,11.79,13.24,13.21,1.51038,14.9,10.05,1796.23
117409,0.87,30.97,34.06,37.04,12.08,14.1,13.81,1.51058,14.7,9.85,1795.98
117410,0.95,31.27,35.78,37.67,11.59,14.2,13.3,1.51035,14.42,10.93,1795.78
117411,0.96,31.28,35.75,37.61,11.45,13.58,13.19,1.5102,15.19,11.5,1794.97
117412,1.22,31.8,35.88,37.91,11.09,13.26,12.95,1.51016,15.99,12.43,1796.24
117414,1.44,31.82,36.62,37.98,11.13,14.09,13.23,1.51026,15.68,11.81,1796.18
117415,1.48,32.74,37,38.3,11.45,14.12,13.43,1.50992,15.06,11.17,1796.03
117416,1.5,32.99,37.07,38.76,11.47,13.71,13.21,1.50996,15.03,11.25,1796.17
117417,1.47,33.12,37.48,39.7,12.1,14.41,13.87,1.5093,14.26,9.77,1795.81
117418,1.5,33.47,37.76,40.05,12.02,13.72,13.7,1.51052,13.72,9.34,1796.39
117420,1.47,34.01,38,40.83,11.9,13.93,13.41,1.51011,14.34,9.38,1796.22
117422,1.74,34.37,39.92,41.02,12.02,14.9,13.63,1.51015,14.42,10.14,1796.02
117423,1.8,34.26,39.95,41.01,11.64,13.95,13.35,1.5102,14.39,10.75,1795.51
117424,1.76,34.19,39.33,40.95,11.34,13.26,12.86,1.51055,14.05,10.64,1796.88
117425,1.85,34.67,39.67,41.03,12.08,14.11,13.65,1.51041,13.22,9.71,1796.19
117428,1.99,36.01,40.13,42.4,12.62,14.53,14.26,1.51061,13.53,8.72,1795.54
117429,2.29,36.1,40.31,42.83,12.54,14.61,14,1.51015,14.03,8.8,1796.1
117430,2.5,36.15,40.9,42.88,12.01,14.65,13.49,1.51094,14.32,9.58,1796.5
117431,2.6,36.34,41.21,43.03,12.75,15.23,14.54,1.51037,14.21,8.34,1795.76
117432,2.7,36.12,40.76,42.9,11.44,13.57,13.09,1.50987,15.65,11.24,1796.48
117433,2.67,36,40.53,42.75,11.19,13.36,13.05,1.51073,14.79,11.72,1796.21
117434,2.38,35.82,39.98,41.24,10.81,13.21,12.41,1.51031,15.04,12.95,1795.52
117436,2.04,35.97,39.93,41.63,11.06,12.85,12.55,1.51054,14.32,12.07,1796.16
117437,1.89,36,40.04,42.04,12.02,13.92,13.67,1.50988,13.21,9.78,1796.24
117438,1.89,36.02,40.02,42.4,12.14,13.74,13.47,1.51073,13.57,9.72,1795.75
117439,1.96,36.13,40.18,42.69,12.11,14.11,13.56,1.50955,13.53,9.28,1796.46
117441,1.96,36.78,40.99,43.09,12.34,14.44,13.9,1.5098,13.08,9.09,1796.36
117442,1.93,36.53,40.77,42.82,12.11,14.39,13.44,1.51121,13.27,9.76,1795.69
117443,1.9,36.35,40.62,42.4,11.45,13.47,12.64,1.50991,13.73,12.01,1795.54
117444,1.91,36.14,40.18,41.62,11.44,13.21,12.57,1.51017,14.56,11.94,1796.09
117445,2.13,36.6,40.65,42.5,12.89,14.75,14.15,1.5106,13.71,8.11,1796.13
117446,2.26,36.93,41.11,42.98,12.45,14.79,13.93,1.5096,13.89,8.48,1795.97
117447,2.14,36.9,41.26,42.99,12.06,14.33,13.44,1.51012,13.71,9.61,1796.35
117448,2.04,36.94,41.12,42.98,12.36,14.53,13.7,1.50985,13.31,9.62,1795.75
117453,1.8,39.57,44.54,45.36,14.11,16.45,15.14,1.5101,13.35,6.04,1796.05
118430,25.13,44.64,42.01,45.5,12.44,12.28,12.38,1.31001,13.8,3.29,1795.4
118433,25.92,47.32,45.66,48.62,12.92,12.89,13.04,1.35533,13.61,3.65,1789.06
118435,25.99,45.65,42.26,46.39,6.99,6.72,7.09,0.23534,13.27,12.82,1795.78
118436,25.92,44.16,41,45.86,7.51,6.86,7.47,0.23498,14.4,13.41,1795.86
118437,26.09,44,40.91,45.14,7.75,6.98,7.61,0.2348,13.57,12.96,1796.06
118440,26.19,44,40.71,44.4,8.68,7.55,8.16,0.23529,13.08,11.94,1795.98
118450,25.73,45.98,42.02,45.62,8.17,7.81,7.43,0.23192,13.79,13.78,1796.15
118451,25.42,45.8,41.4,44.89,7.8,7.71,7.27,0.23217,14.48,15.06,1795.92
118452,25.09,45.45,41.55,44.81,7.88,7.98,7.63,0.23195,13.89,14.25,1795.57
122467,25.28,35.94,31.67,35.99,14.94,13.37,14.03,1.44886,14.1,2.85,1796.08
122469,25.27,41.67,37.05,41.59,14.57,13.63,14.45,1.42297,13.12,1.53,1796.36
122470,25.23,43.74,39.31,43.99,14.22,13.16,14.13,1.45781,13.49,3.68,1795.73
122471,25.22,45.57,40.57,46.06,14.03,13.11,14.02,1.4574,13.88,3.09,1795.87
122472,25.2,47.09,43.14,47.74,14.42,14.04,14.66,1.4701,13.66,3.08,1795.8
122473,25.26,48.85,45.57,50.16,14.52,14.33,14.94,1.50595,14.7,4.12,1795.42
122474,25.22,50.11,46.73,51.61,13.78,13.47,14.16,1.50744,14.93,5.99,1795.69
122484,24.06,52.62,51.83,54.9,14.18,15.45,14.91,1.47479,13.53,4.15,1795.31
122485,23.61,53.92,53.81,56.53,13.54,15.13,14.45,1.50541,14.06,6.51,1794.55
130110,26.55,44.61,41.45,45.08,14.21,13.38,13.8,1.37271,13.31,2.4,1791.27
133800,22.23,33.21,30.94,35.41,12.93,13.08,13.45,1.41673,13.61,2.18,1795.98
134552,26.43,48.76,46.41,49.27,14.89,14.38,14.24,1.23578,13.94,3.55,1677.26
137855,16.47,50.22,48.07,52.5,14.7,14.47,14.95,1.48155,13.59,3.26,1795.81
140491,19.43,44.51,40.79,46.35,14.74,13.82,15.01,1.46366,13.77,1.32,1797.02
140492,19.58,46.53,43.01,48.42,14.87,14.48,15.61,1.49822,14.29,1.93,1796.07
140493,19.7,47.29,45.02,50.1,14.57,13.74,15,1.40192,13.26,0.52,1796.13
140494,19.75,48.13,46.13,51.1,14.79,14.03,15.46,1.42211,13.11,0.46,1796.5
140495,19.87,49.96,47.48,53.18,14.96,14.47,15.6,1.44309,13.4,0.27,1796.66
141136,14.25,43.4,40.22,44.58,15.62,14.63,15.94,1.48805,13.7,1.8,1796.82
