,环境温度[°C],变浆电机1温度[°C],变浆电机2温度[°C],变浆电机3温度[°C],变浆电机1扭矩[Nm],变浆电机2扭矩[Nm],变浆电机3扭矩[Nm],有功功率[kW],1秒平均风速[m/s],叶片1角度[°],发电机平均转速[rpm]
19873,9.13,13.82,12.39,16.18,12.25,13.7,13.99,1.28437,14.75,21.26,1559.02
19874,10.66,18.05,17.33,20.97,14.11,14.97,15.41,1.52739,13.97,10.14,1797.42
19875,10.97,20.79,20.07,24.11,13.58,14.27,14.83,1.52664,14.17,10.54,1797.55
19876,11.26,23.22,22.32,26.83,12.5,13.24,13.81,1.52614,15.9,13.38,1797.73
19877,11.43,25.27,24.51,29.3,12.55,13.38,14.22,1.52584,15.92,13.67,1797.25
19878,11.6,27.14,26.7,31.37,12.79,13.75,14.68,1.52574,15.33,12.72,1796.99
19880,11.72,29.82,29.73,34.6,12.39,13.56,13.97,1.52576,15.98,13.56,1796.81
19881,11.8,31.12,31.65,36.6,13.02,14.17,14.51,1.52645,15.01,12.22,1796.89
19883,11.81,36.28,37,41.25,14.21,15.28,15.53,1.52899,13.76,9.66,1797.4
19886,11.52,40.51,42.45,46.4,14.9,16.25,16.03,1.52939,13.12,8.23,1797.44
21068,15.74,53.07,57.13,59,12.48,13.79,14.23,1.52637,13.94,15.33,1796.49
21654,14.78,47.37,50.62,53.01,11.62,12.95,13.13,1.52773,14.54,16.64,1795.89
21655,14.93,46.99,49.2,51.72,11.22,12.06,12.32,1.52569,15.79,18.71,1795.72
21799,20.5,49.67,46.41,49.91,14.68,12.75,13.56,1.44027,14.06,9.74,1796.78
23425,12.07,46.19,41.2,43.93,16.3,13.99,13.94,1.42982,13.08,4.19,1795.89
23426,12.44,47.75,42.98,45.94,15.34,13.27,13.58,1.4289,13.27,4.82,1796.47
23427,12.79,47.94,42.99,46,14.57,12.54,12.51,1.4298,14.27,7.51,1796.23
23428,13.1,49.01,43.24,46.28,15.37,13,12.88,1.43023,13.51,6.67,1796.05
23429,13.31,50.14,43.91,46.97,15.54,13.11,13.1,1.43012,13.49,5.63,1795.89
23430,13.67,50.89,45.08,47.61,15.19,13.52,13.45,1.42973,13.14,5.19,1796.12
23431,13.99,50.88,45.8,47.92,14.25,13.16,13.06,1.42958,13.86,6.17,1795.93
23437,15.39,51.67,47.41,50.87,14.4,13.68,14.07,1.40379,13.08,4.2,1796.13
